index,time,mp1,mp2,mp3,mp4,mp5,mp6,mp7,mt1,mt2,mt3,mt4,mt5,mt6,mt7,dt
103,103,0.206,8.32904e-06,0.000263054,9.66527e-05,-2.63653e-05,0.000671308,5.62659e-05,0.000456599,0.982503,-1.76439,-0.0819992,1.18697,-0.254428,0.493952,0.0420527,0.002
104,104,0.208,1.16847e-05,0.000278813,0.000106959,-2.63653e-05,0.000698728,5.62659e-05,0.000476493,0.907916,-1.71295,-0.0846877,1.1816,-0.256189,0.493285,0.043054,0.002
105,105,0.21,1.58791e-05,0.000295591,0.000117146,-2.63653e-05,0.000726532,5.65656e-05,0.000495728,0.84876,-1.65122,-0.0712452,1.17084,-0.247385,0.491616,0.0410515,0.002
106,106,0.212,2.03732e-05,0.000313627,0.000127213,-2.63653e-05,0.000754431,5.64457e-05,0.000514902,0.779316,-1.64094,-0.0618355,1.13992,-0.238582,0.493285,0.0410515,0.002
107,107,0.214,2.48073e-05,0.000332862,0.00013698,-2.64852e-05,0.000782905,5.65656e-05,0.000534437,0.709872,-1.59207,-0.0631797,1.11573,-0.237701,0.493619,0.040384,0.002
108,108,0.216,2.89419e-05,0.000352995,0.000146387,-2.64852e-05,0.000810901,5.63858e-05,0.000555888,0.640428,-1.58435,-0.064524,1.09691,-0.239462,0.493285,0.0387152,0.002
109,109,0.218,3.29566e-05,0.000373848,0.000155435,-2.64852e-05,0.000838512,5.65656e-05,0.000578479,0.583844,-1.55863,-0.0604912,1.07674,-0.244744,0.492951,0.0373802,0.002
110,110,0.22,3.793e-05,0.000395,0.000163824,-2.63653e-05,0.00086622,5.65656e-05,0.000601788,0.504112,-1.50205,-0.069901,1.07674,-0.251787,0.493285,0.0363789,0.002
111,111,0.222,4.38623e-05,0.000416392,0.000171734,-2.64852e-05,0.000894215,5.66853e-05,0.000625097,0.452672,-1.45318,-0.0833435,1.07674,-0.254428,0.493952,0.0347102,0.002
112,112,0.224,5.08731e-05,0.000438203,0.000179104,-2.63653e-05,0.000922689,5.65656e-05,0.000648107,0.3858,-1.40174,-0.080655,1.06061,-0.253548,0.490949,0.0340427,0.002
113,113,0.226,5.89025e-05,0.000460674,0.000186115,-2.64852e-05,0.000951643,5.66853e-05,0.000669559,0.336932,-1.35287,-0.0725895,1.04583,-0.250026,0.493952,0.0343764,0.002
114,114,0.228,6.77109e-05,0.000483504,0.000192946,-2.64852e-05,0.000980981,5.71049e-05,0.000689393,0.306068,-1.32458,-0.075278,1.01894,-0.248266,0.489614,0.0327077,0.002
115,115,0.23,7.74181e-05,0.000506933,0.000199717,-2.64852e-05,0.00101051,5.78238e-05,0.000708148,0.277776,-1.28857,-0.080655,0.979958,-0.248266,0.484274,0.0313727,0.002
116,116,0.232,8.79043e-05,0.000530721,0.000206608,-2.64852e-05,0.00103975,5.90822e-05,0.000727083,0.24434,-1.22427,-0.0819992,0.943663,-0.244744,0.477932,0.0317064,0.002
117,117,0.234,9.91695e-05,0.00055445,0.000213739,-2.6545e-05,0.00106842,6.05204e-05,0.000746437,0.239196,-1.15997,-0.0819992,0.915434,-0.245625,0.466251,0.0293701,0.002
118,118,0.236,0.000111154,0.000578479,0.000220749,-2.6545e-05,0.00109728,6.21981e-05,0.000766511,0.241768,-1.10853,-0.0779665,0.897959,-0.248266,0.455237,0.0293701,0.002
119,119,0.238,0.000123977,0.000603346,0.00022782,-2.6545e-05,0.00112671,6.41755e-05,0.000786764,0.223764,-1.08281,-0.0725895,0.887205,-0.249146,0.445892,0.0283689,0.002
